Date,Test,Sample,Treatment,Pathogen,Dilution,Count1,Count2,Count3,Count4,Count5,Count6,Count7,Count8,Count9,Count10
11/15/2016,pre-formed floc,control,w/ electrode,fr,6,42,24,27,19,27,31,18,20,24,44
11/15/2016,pre-formed floc,1,filtered,fr,6,15,30,21,35,26,30,21,34,41,31
11/15/2016,pre-formed floc,2,filtered,fr,6,26,34,26,25,18,21,26,26,33,36
11/15/2016,pre-formed floc,3,filtered,fr,6,26,22,24,38,30,38,24,26,30,31
11/15/2016,pre-formed floc,control,beef broth,fr,6,17,10,18,10,14,13,12,16,11,16
11/15/2016,pre-formed floc,1,beef broth,fr,6,26,12,12,18,13,9,10,7,16,27
11/15/2016,pre-formed floc,2,beef broth,fr,6,14,17,14,14,14,19,11,14,16,6
11/15/2016,pre-formed floc,3,beef broth,fr,6,13,15,15,10,12,15,13,27,13,10
3/8/2017,CCC-FeCl2,control,filtered,MS2,6,18,10,11,9,9,15,14,13,16,15
3/8/2017,CCC-FeCl2,1,filtered,MS2,2,0,0,0,0,0,0,0,0,0,0
3/8/2017,CCC-FeCl2,2,filtered,MS2,2,0,0,0,0,0,0,0,0,0,0
3/8/2017,CCC-FeCl2,3,filtered,MS2,2,0,0,0,0,0,0,0,0,0,0
3/8/2017,CCC-FeCl2,control,beef broth,MS2,6,7,7,6,4,9,8,9,12,8,11
3/8/2017,CCC-FeCl2,1,beef broth,MS2,2,1,1,1,1,0,0,0,0,0,0
3/8/2017,CCC-FeCl2,2,beef broth,MS2,2,1,1,0,0,0,0,0,0,0,0
3/8/2017,CCC-FeCl2,3,beef broth,MS2,2,2,0,0,0,0,0,0,0,0,0
3/8/2017,CCC-FeCl2,control,filtered,P22,6,13,32,23,24,29,26,14,26,33,30
3/8/2017,CCC-FeCl2,1,filtered,P22,2,0,0,0,0,0,0,0,0,0,0
3/8/2017,CCC-FeCl2,2,filtered,P22,2,0,0,0,0,0,0,0,0,0,0
3/8/2017,CCC-FeCl2,3,filtered,P22,2,0,0,0,0,0,0,0,0,0,0
3/8/2017,CCC-FeCl2,control,beef broth,P22,6,21,11,17,15,14,16,13,10,11,14
3/8/2017,CCC-FeCl2,1,beef broth,P22,2,0,0,0,0,0,0,0,0,0,0
